filename,sensor,cloud_coverage,spatial_coverage,SENSING_TIME,system:time_start
HLS_L30_T17MQN_2017007_v1_5,Landsat-8,75,10,2017-01-07T15:28:05.4562740Z; 2017-01-07T15:28:29.3812000Z,1483802885456.274
HLS_L30_T17MQN_2017016_v1_5,Landsat-8,54,100,2017-01-16T15:21:52.2185360Z; 2017-01-16T15:22:16.1392260Z,1484580112218.536
HLS_L30_T17MQN_2017023_v1_5,Landsat-8,29,11,2017-01-23T15:28:00.4710100Z; 2017-01-23T15:28:24.3959360Z,1485185280471.01
HLS_L30_T17MQN_2017032_v1_5,Landsat-8,85,99,2017-02-01T15:21:45.4086100Z; 2017-02-01T15:22:09.3292990Z,1485962505408.61
HLS_L30_T17MQN_2017039_v1_5,Landsat-8,89,13,2017-02-08T15:27:52.1539820Z; 2017-02-08T15:28:16.0746710Z,1486567672153.982
HLS_L30_T17MQN_2017048_v1_5,Landsat-8,96,99,2017-02-17T15:21:38.7315530Z; 2017-02-17T15:22:02.6522430Z,1487344898731.553
HLS_L30_T17MQN_2017055_v1_5,Landsat-8,96,12,2017-02-24T15:27:47.1722029Z; 2017-02-24T15:28:11.0886570Z,1487950067172.2021
HLS_L30_T17MQN_2017064_v1_5,Landsat-8,95,99,2017-03-05T15:21:32.1875440Z; 2017-03-05T15:21:56.1124700Z,1488727292187.5442
HLS_L30_T17MQN_2017071_v1_5,Landsat-8,72,12,2017-03-12T15:27:38.9806740Z; 2017-03-12T15:28:02.9013640Z,1489332458980.674
HLS_L30_T17MQN_2017080_v1_5,Landsat-8,57,99,2017-03-21T15:21:22.0905540Z; 2017-03-21T15:21:46.0154800Z,1490109682090.554
HLS_L30_T17MQN_2017087_v1_5,Landsat-8,77,12,2017-03-28T15:27:29.8500299Z; 2017-03-28T15:27:53.7749560Z,1490714849850.029
HLS_L30_T17MQN_2017096_v1_5,Landsat-8,94,99,2017-04-06T15:21:15.1589220Z; 2017-04-06T15:21:39.0796120Z,1491492075158.9219
HLS_L30_T17MQN_2017103_v1_5,Landsat-8,99,11,2017-04-13T15:27:22.2327729Z; 2017-04-13T15:27:46.1576990Z,1492097242232.7722
HLS_L30_T17MQN_2017112_v1_5,Landsat-8,56,99,2017-04-22T15:21:05.6330180Z; 2017-04-22T15:21:29.5537080Z,1492874465633.018
HLS_L30_T17MQN_2017119_v1_5,Landsat-8,95,12,2017-04-29T15:27:11.6537809Z; 2017-04-29T15:27:35.5787070Z,1493479631653.78
HLS_L30_T17MQN_2017128_v1_5,Landsat-8,67,99,2017-05-08T15:21:04.0487059Z; 2017-05-08T15:21:27.9778680Z,1494256864048.705
HLS_L30_T17MQN_2017135_v1_5,Landsat-8,86,12,2017-05-15T15:27:20.1262710Z; 2017-05-15T15:27:44.0554330Z,1494862040126.271
HLS_L30_T17MQN_2017144_v1_5,Landsat-8,79,99,2017-05-24T15:21:15.2442640Z; 2017-05-24T15:21:39.1691910Z,1495639275244.264
HLS_L30_T17MQN_2017151_v1_5,Landsat-8,53,10,2017-05-31T15:27:29.9499099Z; 2017-05-31T15:27:53.8748360Z,1496244449949.909
HLS_L30_T17MQN_2017160_v1_5,Landsat-8,100,100,2017-06-09T15:21:23.2754750Z; 2017-06-09T15:21:47.2004009Z,1497021683275.475
HLS_L30_T17MQN_2017167_v1_5,Landsat-8,49,10,2017-06-16T15:27:36.7445540Z; 2017-06-16T15:28:00.6694800Z,1497626856744.554
HLS_L30_T17MQN_2017176_v1_5,Landsat-8,23,99,2017-06-25T15:21:28.5930790Z; 2017-06-25T15:21:52.5180050Z,1498404088593.079
HLS_L30_T17MQN_2017183_v1_5,Landsat-8,75,11,2017-07-02T15:27:40.9024210Z; 2017-07-02T15:28:04.8273470Z,1499009260902.421
HLS_L30_T17MQN_2017192_v1_5,Landsat-8,42,99,2017-07-11T15:21:31.4075930Z; 2017-07-11T15:21:55.3325189Z,1499786491407.593
HLS_L30_T17MQN_2017199_v1_5,Landsat-8,95,12,2017-07-18T15:27:45.2411120Z; 2017-07-18T15:28:09.1660390Z,1500391665241.112
HLS_L30_T17MQN_2017208_v1_5,Landsat-8,24,99,2017-07-27T15:21:38.9613730Z; 2017-07-27T15:22:02.8820630Z,1501168898961.373
HLS_L30_T17MQN_2017215_v1_5,Landsat-8,62,11,2017-08-03T15:27:52.7993389Z; 2017-08-03T15:28:16.7285010Z,1501774072799.3381
HLS_L30_T17MQN_2017224_v1_5,Landsat-8,49,100,2017-08-12T15:21:45.2160400Z; 2017-08-12T15:22:09.1409659Z,1502551305216.0398
HLS_L30_T17MQN_2017231_v1_5,Landsat-8,8,11,2017-08-19T15:27:58.0297559Z; 2017-08-19T15:28:21.9546820Z,1503156478029.7551
HLS_L30_T17MQN_2017240_v1_5,Landsat-8,96,99,2017-08-28T15:21:48.9736180Z; 2017-08-28T15:22:12.8985440Z,1503933708973.618
HLS_L30_T17MQN_2017247_v1_5,Landsat-8,25,12,2017-09-04T15:28:00.5382349Z; 2017-09-04T15:28:24.4631610Z,1504538880538.234
HLS_L30_T17MQN_2017256_v1_5,Landsat-8,24,99,2017-09-13T15:21:49.4616950Z; 2017-09-13T15:22:13.3866220Z,1505316109461.695
HLS_L30_T17MQN_2017263_v1_5,Landsat-8,33,11,2017-09-20T15:28:03.4712230Z; 2017-09-20T15:28:27.3961490Z,1505921283471.2231
HLS_L30_T17MQN_2017272_v1_5,Landsat-8,83,100,2017-09-29T15:21:56.6457610Z; 2017-09-29T15:22:20.5706869Z,1506698516645.761
HLS_L30_T17MQN_2017279_v1_5,Landsat-8,41,10,2017-10-06T15:28:09.7079320Z; 2017-10-06T15:28:33.6328580Z,1507303689707.932
HLS_L30_T17MQN_2017288_v1_5,Landsat-8,96,100,2017-10-15T15:22:00.6757200Z; 2017-10-15T15:22:24.6006470Z,1508080920675.72
HLS_L30_T17MQN_2017295_v1_5,Landsat-8,78,9,2017-10-22T15:28:12.1494350Z; 2017-10-22T15:28:36.0743620Z,1508686092149.435
HLS_L30_T17MQN_2017304_v1_5,Landsat-8,21,100,2017-10-31T15:22:01.0244330Z; 2017-10-31T15:22:24.9493600Z,1509463321024.4329
HLS_L30_T17MQN_2017311_v1_5,Landsat-8,72,9,2017-11-07T15:28:10.7999460Z; 2017-11-07T15:28:34.7248720Z,1510068490799.946
HLS_L30_T17MQN_2017320_v1_5,Landsat-8,80,100,2017-11-16T15:21:57.5061060Z; 2017-11-16T15:22:21.4310330Z,1510845717506.106
HLS_L30_T17MQN_2017327_v1_5,Landsat-8,98,12,2017-11-23T15:28:05.5529140Z; 2017-11-23T15:28:29.4778410Z,1511450885552.9138
HLS_L30_T17MQN_2017336_v1_5,Landsat-8,100,99,2017-12-02T15:21:51.9126620Z; 2017-12-02T15:22:15.8375880Z,1512228111912.662
HLS_L30_T17MQN_2017343_v1_5,Landsat-8,84,12,2017-12-09T15:28:02.5787700Z; 2017-12-09T15:28:26.4994600Z,1512833282578.77
HLS_L30_T17MQN_2017352_v1_5,Landsat-8,78,99,2017-12-18T15:21:54.5391170Z; 2017-12-18T15:22:18.4640430Z,1513610514539.1172
HLS_L30_T17MQN_2017359_v1_5,Landsat-8,40,10,2017-12-25T15:28:05.0818959Z; 2017-12-25T15:28:29.0068229Z,1514215685081.895
